date,cons
15/06/2018,1120937
16/06/2018,991644
17/06/2018,923725
18/06/2018,1096980
19/06/2018,1139072
20/06/2018,1161001
21/06/2018,1149526
22/06/2018,1109324
23/06/2018,982168
24/06/2018,928307
25/06/2018,1106110
26/06/2018,1145238
27/06/2018,1153337
28/06/2018,1151595
29/06/2018,1128134
30/06/2018,1017863
,
01/07/2018,963828
02/07/2018,1151612
03/07/2018,1185765
04/07/2018,1183883
05/07/2018,1161223
06/07/2018,1147789
07/07/2018,1030854
08/07/2018,972341
09/07/2018,1150780
10/07/2018,1172802
11/07/2018,1161020
12/07/2018,1167667
13/07/2018,1164412
14/07/2018,1014639
15/07/2018,965733
16/07/2018,1124293
17/07/2018,1158940
18/07/2018,1169563
19/07/2018,1176953
20/07/2018,1149885
21/07/2018,1006906
22/07/2018,947882
23/07/2018,1130699
24/07/2018,1172826
25/07/2018,1188459
26/07/2018,1198795
27/07/2018,1172019
